Gene1,Gene2,value
ENSG00000198938,ENSG00000034510,-0.012677371
ENSG00000212907,ENSG00000034510,-0.199871788
ENSG00000214753,ENSG00000034510,0.125022432
ENSG00000228253,ENSG00000034510,-0.282673642
ENSG00000229314,ENSG00000034510,-0.029352666
ENSG00000067225,ENSG00000063180,0.434440361
ENSG00000072778,ENSG00000063180,-0.160175135
ENSG00000074181,ENSG00000063180,-0.317222692
ENSG00000079435,ENSG00000063180,0.270202332
ENSG00000082641,ENSG00000063180,-0.298703592
ENSG00000084234,ENSG00000063180,0.284942402
ENSG00000085063,ENSG00000063180,-0.062064193
ENSG00000089597,ENSG00000063180,-0.394765981
ENSG00000099365,ENSG00000063180,0.90524778
ENSG00000100234,ENSG00000063180,0.018644935
ENSG00000101210,ENSG00000063180,0.436982176
ENSG00000101335,ENSG00000063180,0.007573179
ENSG00000103034,ENSG00000063180,0.799978611
ENSG00000103257,ENSG00000063180,-0.007497765
ENSG00000103495,ENSG00000063180,0.127061906
ENSG00000104852,ENSG00000063180,0.508470982
ENSG00000104879,ENSG00000063180,-0.355614359
ENSG00000104964,ENSG00000063180,0.5905604
ENSG00000105270,ENSG00000063180,0.804729093
ENSG00000105701,ENSG00000063180,0.430500875
ENSG00000106211,ENSG00000063180,-0.511786939
ENSG00000108518,ENSG00000063180,-0.535525889
ENSG00000109846,ENSG00000063180,0.451982725
ENSG00000110955,ENSG00000063180,0.020157657
ENSG00000111245,ENSG00000063180,-0.312328742
ENSG00000111674,ENSG00000063180,0.888208422
ENSG00000111676,ENSG00000063180,0.593157394
ENSG00000122304,ENSG00000063180,0.028878122
ENSG00000129250,ENSG00000063180,-0.421037193
ENSG00000129538,ENSG00000063180,0.245318387
ENSG00000130175,ENSG00000063180,-0.263670019
ENSG00000130176,ENSG00000063180,-0.014294637
ENSG00000130522,ENSG00000063180,0.133065834
ENSG00000130726,ENSG00000063180,-0.110341673
ENSG00000133392,ENSG00000063180,0.030202006
ENSG00000135472,ENSG00000063180,0.757917818
